date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
2018-04-06,170.97,172.48,168.2,168.38,35005289,40.0206,-2.56,136642565.8
2018-04-09,169.88,173.09,169.845,170.05,29017721,40.4175,0.99,136009078.0
2018-04-10,173.0,174.0,171.53,173.25,28614240,41.1781,1.88,135290510.0
2018-04-11,172.23,173.9232,171.7,172.44,22431641,40.9856,-0.47,133438132.4
2018-04-12,173.41,175.0,173.04,174.14,22889289,41.3896,0.99,132142338.2
2018-04-13,174.78,175.84,173.85,174.73,25124260,41.5298,0.34,132618430.0
2018-04-16,175.0301,176.19,174.8301,175.82,21578420,41.7889,0.62,129053176.4
2018-04-17,176.49,178.9365,176.41,178.24,26605439,42.3641,1.38,127684910.2
2018-04-18,177.81,178.82,176.88,177.84,20754539,42.269,-0.22,127905948.0
2018-04-19,174.95,175.39,172.66,172.8,34808801,41.0711,-2.83,127456720.0
2018-04-20,170.595,171.2184,165.43,165.72,65491141,39.3883,-4.1,132256794.2
2018-04-23,166.835,166.92,164.09,165.24,36515480,39.2743,-0.29,131354134.0
2018-04-24,165.67,166.33,161.2201,162.94,33692020,38.7276,-1.39,130584290.4
2018-04-25,162.62,165.42,162.41,163.65,28382080,38.8964,0.44,128076190.8
2018-04-26,164.12,165.73,163.37,164.22,27963010,39.0318,0.35,125335082.6
2018-04-27,164.0,164.33,160.63,162.32,35655840,38.5802,-1.16,124786548.2
2018-04-30,162.13,167.26,161.84,165.26,42427422,39.279,1.81,125754674.0
2018-05-01,166.41,169.2,165.27,169.1,53569379,40.1917,2.32,130412939.6
2018-05-02,175.225,177.75,173.8,176.57,66539367,41.9672,4.42,136799715.4
2018-05-03,175.88,177.5,174.4411,176.89,34068180,42.0432,0.18,138226711.6
2018-05-04,178.25,184.25,178.17,183.83,56201320,43.6927,3.92,142465917.8
2018-05-07,185.18,187.67,184.75,185.16,42451422,44.0089,0.72,145152658.0
2018-05-08,184.99,186.22,183.665,186.05,28402779,44.2204,0.48,145110365.8
2018-05-09,186.55,187.4,185.22,187.36,23211240,44.5317,0.7,145266285.6
2018-05-10,187.74,190.37,187.65,190.04,27989289,45.1687,1.43,146286285.6
2018-05-11,189.49,190.06,187.45,188.59,26212221,44.9969,-0.38,146503877.8
2018-05-14,189.01,189.53,187.86,188.15,20778770,44.892,-0.23,146343947.8
2018-05-15,186.78,187.07,185.1,186.44,23695160,44.484,-0.91,145761892.0
2018-05-16,186.07,188.46,186.0,188.18,19183061,44.8991,0.93,145447596.4
2018-05-17,188.0,188.91,186.36,186.99,17294029,44.6152,-0.63,141944642.0
2018-05-18,187.19,187.8102,186.13,186.31,18297730,44.4529,-0.36,132505959.8
2018-05-21,188.0,189.27,186.9106,187.63,18400789,44.7679,0.71,128883021.6
2018-05-22,188.375,188.88,186.78,187.16,15240700,44.6557,-0.25,125192757.6
2018-05-23,186.35,188.5,185.76,188.36,20058420,44.9421,0.64,123528025.6
2018-05-24,188.77,188.84,186.21,188.15,23233980,44.892,-0.11,122582219.6
2018-05-25,188.23,189.65,187.65,188.58,17460961,44.9946,0.23,118943243.8
2018-05-29,187.6,188.75,186.87,187.9,22514080,44.8323,-0.36,114960575.4
2018-05-30,187.72,188.0,186.78,187.5,18690551,44.7369,-0.21,107984809.8
2018-05-31,187.22,188.23,186.14,186.87,27482789,44.5866,-0.34,100173494.2
2018-06-01,187.991,190.26,187.75,190.24,23442510,45.3906,1.8,98048360.2
2018-06-04,191.635,193.42,191.35,191.83,26266170,45.77,0.84,92061330.2
2018-06-05,193.065,193.94,192.36,193.31,21565961,46.1231,0.77,87884238.0
